dateParse,title,date1,date2,address,contact,categories,frequency,dates
29.01.2020,Tucson Jazz Festival,10.01.2020,20.01.2020,"Tucson, USA",info@hslproperties.com,Trade Show ; Entertainment & Media,Annual,1.11.2001-21.1.2018; 1.12.2001-22.1.2017; 14.1.2016-24.1.2016
29.01.2020,Manufacturers RV Show,11.01.2020,20.01.2020," Alameda County Fairgrounds,                         Pleasanton, USA",Shawnnohr@rvshows.net,Trade Show ; Auto & Automotive,Annual,1.6.2001-15.1.2018; 1.7.2001-16.1.2017
29.01.2020,Bargain Bash,11.01.2020,20.01.2020," Seneca Lake Wine Trail, Schuyler County, USA",glenda@senecalakewine.com,Trade Show ; Food & Beverages,Annual,1.6.2001-15.1.2018; 1.9.2001-15.1.2016
29.01.2020,Don Orthodox,15.01.2020,20.01.2020," Don Expocentre (VertolExpo), Rostov-on-Don, Russia",rp2@donexpocentre.ru,Trade Show ; Education & Training,Bi-annual,16.1.2019-21.1.2019; 16.5.2018-21.5.2018; 1.11.2001-16.1.2018; 1.12.2001-17.1.2017; 24.8.2001-4.9.2016; 26.5.2016-31.5.2016; 1.10.2001-15.1.2014
29.01.2020,Plastivision India,16.01.2020,20.01.2020," Bombay Exhibition Centre (BEC), Mumbai, India",kankuenterprises@hotmail.com,Trade Show ; Packing & Packaging,Triennial,
29.01.2020,Mid-America Boat  Show,16.01.2020,20.01.2020," International Exposition Center, Cleveland, USA",info@lemta.com,Trade Show  ; Auto & AutomotiveLogistics & Transportation,Annual,18.1.2018-21.1.2018; 1.12.2001-16.1.2017; 14.1.2016-18.1.2016; 15.1.2015-19.1.2015
29.01.2020,Further Confusion,16.01.2020,20.01.2020," San Jose Convention Center, San Jose, USA",info@furtherconfusion.org,Trade Show ; Environment & Waste,Annual,1.11.2001-15.1.2018; 1.12.2001-16.1.2017; 14.1.2016-18.1.2016
29.01.2020,Who's Next,17.01.2020,20.01.2020," Paris Expo Porte de Versailles, Paris, France",info@whosnext.com,Trade Show  ; Apparel & ClothingFashion & Beauty,Quarterly,1.8.2001-11.9.2017; 20.1.2017-23.1.2017; 1.2.2001-5.9.2016; 22.1.2016-25.1.2016; 1.4.2001-7.9.2015; 25.1.2014-28.1.2014; 19.1.2013-22.1.2013; 30.6.2001-3.7.2012; 21.1.2012-24.1.2012; 1.3.2001-6.9.2011; 1.4.2001-7.9.2010; 23.1.2010-26.1.2010; 1.3.2001-6.9.2009; 29.1.2001-1.2.2009; 1.4.2001-7.9.2008; 24.1.2008-27.1.2008
29.01.2020,Bijorhca Paris,17.01.2020,20.01.2020," Paris Expo Porte de Versailles, Paris, France",Thibault.bourguignon@reedexpo.fr,Trade Show ; Arts & Crafts,Quarterly,18.1.2019-21.1.2019; 1.7.2001-10.9.2018; 19.1.2018-22.1.2018; 1.8.2001-11.9.2017; 20.1.2017-23.1.2017; 1.2.2001-5.9.2016; 1.2.2001-5.9.2016; 1.4.2001-7.9.2015; 23.1.2015-26.1.2015; 24.1.2014-27.1.2014; 1.5.2001-8.7.2013; 18.1.2013-21.1.2013
29.01.2020,Orlando Dermatology Aesthetic & Clinical Conference,17.01.2020,20.01.2020," JW Marriott Orlando, Grande Lakes, Orlando, USA",info@orlandoderm.org,Conference ; Medical & Pharma,Annual,15.1.2016-18.1.2016; 16.1.2015-19.1.2015; 17.1.2014-20.1.2014; 13.1.2012-16.1.2012
